1996-07 109
1996-08 102
1996-09 63
1996-10 212
1996-11 292
1996-12 98
1997-01 204
1997-02 83
1997-03 118
1997-04 190
1997-05 112
1997-06 126
1997-07 74
1997-08 115
1997-09 274
1997-10 133
1997-11 123
1997-12 146
1998-01 164
1998-02 238
1998-03 112
1998-04 133
1998-05 87
1998-06 100
1998-07 127
1998-08 193
1998-09 146
1998-10 304
1998-11 48
1998-12 90
1999-01 105
1999-02 171
1999-03 137
1999-04 107
1999-05 213
1999-06 157
1999-07 202
1999-08 89
1999-09 163
1999-10 165
1999-11 130
1999-12 150
2000-01 239
2000-02 203
2000-03 262
2000-04 216
2000-05 185
2000-06 185
2000-07 228
2000-08 100
2000-09 107
2000-10 307
2000-11 264
2000-12 234
2001-01 361
2001-02 313
2001-03 224
2001-04 117
2001-05 312
2001-06 192
2001-07 143
2001-08 223
2001-09 306
2001-10 322
2001-11 363
2001-12 191
2002-01 218
2002-02 165
2002-03 204
2002-04 235
2002-05 104
2002-06 192
2002-07 221
2002-08 391
2002-09 294
2002-10 244
2002-11 229
2002-12 156
2003-01 172
2003-02 158
2003-03 172
2003-04 132
2003-05 176
2003-06 232
2003-07 191
2003-08 270
2003-09 280
2003-10 263
2003-11 191
2003-12 179
2004-01 177
2004-02 149
2004-03 215
2004-04 162
2004-05 245
2004-06 189
2004-07 172
2004-08 309
2004-09 212
2004-10 293
2004-11 222
2004-12 200
2005-01 227
2005-02 138
2005-03 219
2005-04 189
2005-05 211
2005-06 251
2005-07 248
2005-08 239
2005-09 167
2005-10 217
2005-11 133
2005-12 180
2006-01 146
2006-02 170
2006-03 148
2006-04 182
2006-05 163
2006-06 222
2006-07 196
2006-08 238
2006-09 240
2006-10 182
2006-11 142
2006-12 126
2007-01 254
2007-02 276
2007-03 176
2007-04 180
2007-05 126
2007-06 109
2007-07 121
2007-08 133
2007-09 191
2007-10 221
2007-11 259
2007-12 141
2008-01 116
2008-02 106
2008-03 309
2008-04 152
2008-05 152
2008-06 96
2008-07 104
2008-08 93
2008-09 88
2008-10 151
2008-11 181
2008-12 103
2009-01 184
2009-02 107
2009-03 130
2009-04 154
2009-05 100
2009-06 118
2009-07 98
2009-08 122
2009-09 93
2009-10 68
2009-11 92
2009-12 121
2010-01 234
2010-02 231
2010-03 150
2010-04 142
2010-05 164
2010-06 135
2010-07 138
2010-08 145
2010-09 106
2010-10 124
2010-11 114
2010-12 119
2011-01 222
2011-02 237
2011-03 251
2011-04 185
2011-05 132
2011-06 175
2011-07 131
2011-08 159
2011-09 137
2011-10 134
2011-11 171
2011-12 98
2012-01 145
2012-02 147
2012-03 148
2012-04 126
2012-05 186
2012-06 131
2012-07 117
2012-08 182
2012-09 110
2012-10 116
2012-11 68
2012-12 128
2013-01 150
2013-02 116
2013-03 134
2013-04 121
2013-05 83
2013-06 107
2013-07 150
2013-08 68
2013-09 71
2013-10 115
2013-11 149
2013-12 105
2014-01 175
2014-02 163
2014-03 156
2014-04 160
2014-05 184
2014-06 93
2014-07 124
2014-08 130
2014-09 121
2014-10 131
2014-11 159
2014-12 143
2015-01 144
2015-02 142
2015-03 183
2015-04 148
2015-05 234
2015-06 135
2015-07 185
2015-08 148
2015-09 138
2015-10 140
2015-11 100
2015-12 122
2016-01 136
2016-02 163
2016-03 303
2016-04 261
2016-05 127
2016-06 171
2016-07 125
2016-08 187
2016-09 149
2016-10 166
2016-11 128
2016-12 173
2017-01 192
2017-02 174
2017-03 362
2017-04 302
2017-05 214
2017-06 212
2017-07 122
2017-08 228
2017-09 218
2017-10 154
2017-11 175
2017-12 114
2018-01 164
2018-02 163
2018-03 279
2018-04 265
2018-05 176
2018-06 133
2018-07 169
2018-08 152
2018-09 155
2018-10 146
2018-11 208
2018-12 109
2019-01 183
2019-02 173
2019-03 295
2019-04 209
2019-05 203
2019-06 143
2019-07 191
2019-08 132
2019-09 161
2019-10 143
2019-11 164
2019-12 139
2020-01 165
2020-02 143
2020-03 237
2020-04 259
2020-05 185
2020-06 169
2020-07 170
2020-08 120
2020-09 198
2020-10 182
2020-11 200
2020-12 151
2021-01 198
2021-02 154
2021-03 282
2021-04 296
2021-05 170
2021-06 197
2021-07 205
2021-08 163
2021-09 163
2021-10 152
2021-11 172
2021-12 122
2022-01 183
2022-02 179
2022-03 263
2022-04 262
2022-05 144
2022-06 89
2022-07 282
2022-08 271
2022-09 272
2022-10 157
2022-11 200
2022-12 185
2023-01 210
2023-02 165
2023-03 279
2023-04 248
2023-05 147
2023-06 126
2023-07 172
2023-08 144
2023-09 142
2023-10 215
2023-11 208
2023-12 154
2024-01 237
2024-02 179
2024-03 323
2024-04 336
2024-05 157
2024-06 141
2024-07 292
2024-08 215
2024-09 198
2024-10 243
2024-11 205
2024-12 196
2025-01 212
2025-02 245
2025-03 365
2025-04 315
2025-05 151
2025-06 156
2025-07 220
2025-08 200
2025-09 189
2025-10 240
2025-11 262
2025-12 258
2026-01 72
