836893355 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
836894138 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
836894359 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
837147239 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0
837149979 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0
837243453 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0
837457832 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0
837457883 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0
837458537 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0
837458578 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0
837459153 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0
837499048 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0
837500021 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0
837500292 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0
837501238 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0
837665982 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0
837668937 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0
837753160 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0
837753688 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0
837754362 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0
837755657 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0
837756501 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0
837756838 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0
837757679 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0
837758198 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0
