836893355 0 0 0 0 0 0 0 242656 0 0 0 0 0 0 0 0 0 0 0 0
836894138 0 0 0 0 0 0 0 242661 0 0 0 0 0 0 0 0 0 0 0 0
836894359 0 0 0 0 0 0 0 242669 0 0 0 0 0 0 0 0 0 0 0 0
837147239 0 0 0 0 0 0 0 242809 0 0 0 0 0 0 0 0 0 0 0 0
837149979 0 0 0 0 0 0 0 243119 0 0 0 0 0 0 0 0 0 0 0 0
837243453 0 0 0 0 0 0 0 243126 0 0 0 0 0 0 0 0 0 0 0 0
837457832 0 0 0 0 0 0 0 243132 0 0 0 0 0 0 0 0 0 0 0 0
837457883 0 0 0 0 0 0 0 243143 0 0 0 0 0 0 0 0 0 0 0 0
837458537 0 0 0 0 0 0 0 243208 0 0 0 0 0 0 0 0 0 0 0 0
837458578 0 0 0 0 0 0 0 243218 0 0 0 0 0 0 0 0 0 0 0 0
837459153 0 0 0 0 0 0 0 243221 0 0 0 0 0 0 0 0 0 0 0 0
837499048 0 0 0 0 0 0 0 243227 0 0 0 0 0 0 0 0 0 0 0 0
837500021 0 0 0 0 0 0 0 243229 0 0 0 0 0 0 0 0 0 0 0 0
837500292 0 0 0 0 0 0 0 243236 0 0 0 0 0 0 0 0 0 0 0 0
837501238 0 0 0 0 0 0 0 243374 0 0 0 0 0 0 0 0 0 0 0 0
837665982 0 0 0 0 0 0 0 243380 0 0 0 0 0 0 0 0 0 0 0 0
837668937 0 0 0 0 0 0 0 244198 0 0 0 0 0 0 0 0 0 0 0 0
837753160 0 0 0 0 0 0 0 244200 0 0 0 0 0 0 0 0 0 0 0 0
837753688 0 0 0 0 0 0 0 244203 0 0 0 0 0 0 0 0 0 0 0 0
837754362 0 0 0 0 0 0 0 244209 0 0 0 0 0 0 0 0 0 0 0 0
837755657 0 0 0 0 0 0 0 244210 0 0 0 0 0 0 0 0 0 0 0 0
837756501 0 0 0 0 0 0 0 244239 0 0 0 0 0 0 0 0 0 0 0 0
837756838 0 0 0 0 0 0 0 244251 0 0 0 0 0 0 0 0 0 0 0 0
837757679 0 0 0 0 0 0 0 244255 0 0 0 0 0 0 0 0 0 0 0 0
837758198 0 0 0 0 0 0 0 244295 0 0 0 0 0 0 0 0 0 0 0 0
837758871 0 0 0 0 0 0 0 244297 0 0 0 0 0 0 0 0 0 0 0 0
837759220 0 0 0 0 0 0 0 244299 0 0 0 0 0 0 0 0 0 0 0 0
837759656 0 0 0 0 0 0 0 244318 0 0 0 0 0 0 0 0 0 0 0 0
837760454 0 0 0 0 0 0 0 244327 0 0 0 0 0 0 0 0 0 0 0 0
837760796 0 0 0 0 0 0 0 244359 0 0 0 0 0 0 0 0 0 0 0 0
837761051 0 0 0 0 0 0 0 244393 0 0 0 0 0 0 0 0 0 0 0 0
