1996 876
1997 1698
1998 1742
1999 1789
2000 2530
2001 3067
2002 2653
2003 2416
2004 2545
2005 2419
2006 2155
2007 2187
2008 1651
2009 1387
2010 1802
2011 2032
2012 1604
2013 1369
2014 1739
2015 1819
2016 2089
2017 2467
2018 2119
2019 2136
2020 2179
2021 2274
2022 2487
2023 2210
2024 2722
2025 2813
2026 72
